=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 4 | </cst/Boundaries/> Low^X_Sym | PEC | n/a | no | pec. | boundary. | n/a | FIT_TD
1 | 5 | </cst/Boundaries/> Low^Y | PEC | n/a | no | pec. | boundary. | n/a | FIT_TD
1 | 6 | </cst/Boundaries/> Low^Z | PEC | n/a | no | pec. | boundary. | n/a | FIT_TD
1 | 7 | </cst/Boundaries/> Up^X | PEC | n/a | no | pec. | boundary. | n/a | FIT_TD
1 | 8 | </cst/Boundaries/> Up^Y | PEC | n/a | no | pec. | boundary. | n/a | FIT_TD
1 | 9 | </cst/Boundaries/> Up^Z | PEC | n/a | no | pec. | boundary. | n/a | FIT_TD
2 | 2 | component1:long cylinder | air | n/a | yes | normal.vacuum. | solid. | n/a | FIT_TD
3 | 1 | component1:long conductor | PEC | n/a | yes | pec. | solid. | n/a | FIT_TD
3 | 3 | component1:short conductor | PEC | n/a | yes | pec. | solid. | n/a | FIT_TD
=========================================
