Model, Learning_rate, Hidden_size, Test_acc
1,0.02,10,92.74
2,0.02,12,93.61
3,0.02,14,94.15
4,0.02,16,94.31
5,0.02,18,94.58
6,0.02,20,94.95
7,0.04,10,93.15
8,0.04,12,94.0
9,0.04,14,94.17
10,0.04,16,94.53
11,0.04,18,95.11
12,0.04,20,95.17
13,0.06,10,92.65
14,0.06,12,93.83
15,0.06,14,94.47
16,0.06,16,94.63
17,0.06,18,94.52
18,0.06,20,95.47
19,0.08,10,92.9
20,0.08,12,93.67
21,0.08,14,93.8
22,0.08,16,94.78
23,0.08,18,94.86
24,0.08,20,95.2
25,0.1,10,92.87
26,0.1,12,93.7
27,0.1,14,94.06
28,0.1,16,94.4
29,0.1,18,94.92
30,0.1,20,95.03
31,0.12,10,92.39
32,0.12,12,93.23
33,0.12,14,93.98
34,0.12,16,94.14
35,0.12,18,94.57
36,0.12,20,95.08
37,0.14,10,93.14
38,0.14,12,93.37
39,0.14,14,94.07
40,0.14,16,94.88
41,0.14,18,94.45
42,0.14,20,94.86
43,0.16,10,91.82
44,0.16,12,93.36
45,0.16,14,93.9
46,0.16,16,94.73
47,0.16,18,94.58
48,0.16,20,95.41
49,0.18,10,92.76
50,0.18,12,92.81
51,0.18,14,93.87
52,0.18,16,94.21
53,0.18,18,94.46
54,0.18,20,93.85
55,0.2,10,93.0
56,0.2,12,93.71
57,0.2,14,93.55
58,0.2,16,93.64
59,0.2,18,94.38
60,0.2,20,94.48
61,0.22,10,92.63
62,0.22,12,93.14
63,0.22,14,94.32
64,0.22,16,94.0
65,0.22,18,93.25
66,0.22,20,93.85
67,0.24,10,92.92
68,0.24,12,92.67
69,0.24,14,93.65
70,0.24,16,94.16
71,0.24,18,93.36
72,0.24,20,94.21
73,0.26,10,92.47
74,0.26,12,93.39
75,0.26,14,93.43
76,0.26,16,93.71
77,0.26,18,94.25
78,0.26,20,93.91
79,0.28,10,92.5
80,0.28,12,91.85
81,0.28,14,93.54
82,0.28,16,93.95
83,0.28,18,94.04
84,0.28,20,94.32
85,0.3,10,92.3
86,0.3,12,92.88
87,0.3,14,94.24
88,0.3,16,93.27
89,0.3,18,93.57
90,0.3,20,93.82
91,0.32,10,92.35
92,0.32,12,92.77
93,0.32,14,93.86
94,0.32,16,93.57
95,0.32,18,93.57
96,0.32,20,93.78
97,0.34,10,92.21
98,0.34,12,92.47
99,0.34,14,93.61
100,0.34,16,93.81
101,0.34,18,93.37
102,0.34,20,94.29
103,0.36,10,91.79
104,0.36,12,92.97
105,0.36,14,94.12
106,0.36,16,93.52
107,0.36,18,93.04
108,0.36,20,93.75
109,0.38,10,92.18
110,0.38,12,92.01
111,0.38,14,93.28
112,0.38,16,93.33
113,0.38,18,93.62
114,0.38,20,92.77
115,0.4,10,92.11
116,0.4,12,92.35
117,0.4,14,93.52
118,0.4,16,93.82
119,0.4,18,93.54
120,0.4,20,93.35
